subject,task,best_model,best_interval,best_score,fft
51,6_10_14,LogisticRegression,(-1.0, 4.0),1.0,True
52,6_10_14,XGBClassifier,(-1.0, 3.0),0.9375,False
53,6_10_14,RandomForestClassifier,(1.0, 3.0),0.8823529411764706,False
54,6_10_14,RandomForestClassifier,(1.0, 2.0),0.8235294117647058,False
55,6_10_14,LogisticRegression,(-1.0, 4.0),1.0,False
56,6_10_14,LinearDiscriminantAnalysis,(0.0, 4.0),0.8235294117647058,True
57,6_10_14,LogisticRegression,(0.0, 2.0),0.7647058823529411,True
58,6_10_14,LogisticRegression,(-1.0, 3.0),0.8823529411764706,False
59,6_10_14,LogisticRegression,(1.0, 2.0),0.7647058823529411,True
60,6_10_14,XGBClassifier,(0.0, 4.0),0.8235294117647058,False
61,6_10_14,RandomForestClassifier,(0.0, 4.0),0.7222222222222222,True
62,6_10_14,LogisticRegression,(0.0, 3.0),0.9411764705882353,False
63,6_10_14,LinearDiscriminantAnalysis,(1.0, 2.0),0.8235294117647058,True
64,6_10_14,RandomForestClassifier,(0.0, 2.0),0.8823529411764706,False
65,6_10_14,LogisticRegression,(0.0, 2.0),0.8235294117647058,True
66,6_10_14,LogisticRegression,(0.0, 4.0),0.8235294117647058,True
67,6_10_14,XGBClassifier,(0.0, 2.0),0.7058823529411765,False
68,6_10_14,RandomForestClassifier,(0.0, 3.0),0.8823529411764706,False
69,6_10_14,LogisticRegression,(0.0, 4.0),0.9411764705882353,False
70,6_10_14,LogisticRegression,(1.0, 3.0),0.9411764705882353,False
71,6_10_14,LogisticRegression,(0.0, 3.0),0.8823529411764706,False
72,6_10_14,LogisticRegression,(1.0, 2.0),1.0,False
73,6_10_14,LinearDiscriminantAnalysis,(1.0, 3.0),1.0,True
74,6_10_14,XGBClassifier,(0.0, 4.0),0.7058823529411765,True
75,6_10_14,LogisticRegression,(1.0, 2.0),0.8823529411764706,True
76,6_10_14,RandomForestClassifier,(1.0, 3.0),0.6470588235294118,True
77,6_10_14,GradientBoostingClassifier,(0.0, 3.0),0.7647058823529411,True
78,6_10_14,XGBClassifier,(-1.0, 2.0),0.625,True
79,6_10_14,LogisticRegression,(0.0, 4.0),0.8235294117647058,True
80,6_10_14,LogisticRegression,(0.0, 2.0),0.6666666666666666,False
81,6_10_14,LogisticRegression,(-1.0, 2.0),0.875,False
82,6_10_14,LogisticRegression,(0.0, 4.0),0.8333333333333334,False
83,6_10_14,XGBClassifier,(0.0, 2.0),0.7058823529411765,True
84,6_10_14,RandomForestClassifier,(0.0, 4.0),0.7058823529411765,False
85,6_10_14,RandomForestClassifier,(0.0, 2.0),1.0,False
86,6_10_14,LogisticRegression,(0.0, 3.0),0.9411764705882353,True
87,6_10_14,RandomForestClassifier,(-1.0, 3.0),0.7647058823529411,False
88,6_10_14,LogisticRegression,(1.0, 4.0),0.6363636363636364,True
89,6_10_14,LogisticRegression,(-1.0, 2.0),1.0,False
90,6_10_14,LinearDiscriminantAnalysis,(0.0, 2.0),0.9411764705882353,False
91,6_10_14,XGBClassifier,(1.0, 2.0),0.7647058823529411,False
92,6_10_14,LogisticRegression,(0.0, 2.0),0.7727272727272727,False
93,6_10_14,GradientBoostingClassifier,(0.0, 2.0),0.8235294117647058,False
94,6_10_14,LogisticRegression,(-1.0, 4.0),0.75,True
95,6_10_14,XGBClassifier,(0.0, 3.0),0.8235294117647058,True
96,6_10_14,RandomForestClassifier,(1.0, 3.0),0.7647058823529411,True
97,6_10_14,LogisticRegression,(-1.0, 2.0),0.7647058823529411,True
98,6_10_14,LogisticRegression,(1.0, 4.0),1.0,False
99,6_10_14,XGBClassifier,(-1.0, 3.0),0.75,False
100,6_10_14,RandomForestClassifier,(1.0, 3.0),0.7857142857142857,True
101,6_10_14,LogisticRegression,(-1.0, 3.0),0.7647058823529411,True
102,6_10_14,LogisticRegression,(1.0, 4.0),0.8823529411764706,False
103,6_10_14,LinearDiscriminantAnalysis,(0.0, 3.0),0.8823529411764706,True
104,6_10_14,GradientBoostingClassifier,(-1.0, 2.0),0.8125,True
105,6_10_14,XGBClassifier,(0.0, 4.0),0.9444444444444444,False
106,6_10_14,LogisticRegression,(1.0, 3.0),0.9411764705882353,True
107,6_10_14,LogisticRegression,(0.0, 3.0),0.7058823529411765,True
108,6_10_14,LogisticRegression,(1.0, 4.0),0.7647058823529411,True
109,6_10_14,LogisticRegression,(1.0, 3.0),0.7058823529411765,False
