subject,task,best_model,best_interval,best_score,fft
87,3_7_11,LinearDiscriminantAnalysis,(0.0, 3.0),0.8888888888888888,False
88,3_7_11,LogisticRegression,(1.0, 2.0),0.7272727272727273,True
89,3_7_11,LogisticRegression,(0.0, 3.0),1.0,False
90,3_7_11,RandomForestClassifier,(0.0, 2.0),0.8333333333333334,False
91,3_7_11,LogisticRegression,(-1.0, 4.0),0.8823529411764706,True
92,3_7_11,LogisticRegression,(1.0, 2.0),0.7619047619047619,False
93,3_7_11,LogisticRegression,(1.0, 3.0),0.8823529411764706,False
94,3_7_11,LogisticRegression,(0.0, 4.0),1.0,True
95,3_7_11,LogisticRegression,(1.0, 3.0),0.8823529411764706,True
96,3_7_11,RandomForestClassifier,(-1.0, 3.0),0.7058823529411765,True
97,3_7_11,LogisticRegression,(-1.0, 2.0),0.7647058823529411,False
98,3_7_11,RandomForestClassifier,(-1.0, 2.0),0.7647058823529411,False
99,3_7_11,LogisticRegression,(1.0, 4.0),0.8823529411764706,False
100,3_7_11,LogisticRegression,(0.0, 3.0),0.9285714285714286,True
101,3_7_11,RandomForestClassifier,(0.0, 4.0),0.8235294117647058,False
102,3_7_11,LogisticRegression,(1.0, 4.0),1.0,False
103,3_7_11,LogisticRegression,(1.0, 3.0),0.8235294117647058,False
104,3_7_11,LogisticRegression,(0.0, 3.0),0.9411764705882353,False
105,3_7_11,LogisticRegression,(1.0, 4.0),1.0,True
106,3_7_11,LogisticRegression,(0.0, 3.0),0.8823529411764706,False
107,3_7_11,RandomForestClassifier,(0.0, 2.0),0.7647058823529411,True
108,3_7_11,LogisticRegression,(0.0, 3.0),1.0,False
109,3_7_11,LogisticRegression,(1.0, 3.0),0.8235294117647058,False
1,4_8_12,LogisticRegression,(0.0, 3.0),0.8823529411764706,True
2,4_8_12,LogisticRegression,(1.0, 3.0),0.9411764705882353,False
3,4_8_12,RandomForestClassifier,(1.0, 3.0),0.8823529411764706,False
4,4_8_12,RandomForestClassifier,(-1.0, 3.0),1.0,True
5,4_8_12,LogisticRegression,(1.0, 2.0),0.7222222222222222,True
6,4_8_12,LinearDiscriminantAnalysis,(-1.0, 3.0),0.75,True
7,4_8_12,LinearDiscriminantAnalysis,(0.0, 4.0),1.0,False
8,4_8_12,LogisticRegression,(-1.0, 2.0),0.8235294117647058,True
9,4_8_12,LogisticRegression,(0.0, 2.0),0.8235294117647058,True
10,4_8_12,LogisticRegression,(0.0, 4.0),0.8235294117647058,True
11,4_8_12,GradientBoostingClassifier,(0.0, 2.0),0.8235294117647058,False
12,4_8_12,LogisticRegression,(1.0, 4.0),0.8333333333333334,True
13,4_8_12,LogisticRegression,(0.0, 3.0),0.8235294117647058,False
14,4_8_12,LinearDiscriminantAnalysis,(0.0, 3.0),0.7647058823529411,True
15,4_8_12,LogisticRegression,(0.0, 4.0),1.0,True
16,4_8_12,XGBClassifier,(1.0, 2.0),0.8235294117647058,True
17,4_8_12,LogisticRegression,(1.0, 4.0),0.7058823529411765,True
18,4_8_12,RandomForestClassifier,(0.0, 3.0),1.0,False
19,4_8_12,LogisticRegression,(1.0, 3.0),0.7647058823529411,False
20,4_8_12,LogisticRegression,(0.0, 2.0),0.9411764705882353,False
21,4_8_12,LogisticRegression,(0.0, 2.0),0.8823529411764706,True
22,4_8_12,GradientBoostingClassifier,(-1.0, 4.0),1.0,False
23,4_8_12,LogisticRegression,(-1.0, 4.0),0.8823529411764706,False
24,4_8_12,XGBClassifier,(0.0, 2.0),0.8823529411764706,True
25,4_8_12,LogisticRegression,(0.0, 2.0),1.0,False
26,4_8_12,LogisticRegression,(0.0, 3.0),0.8823529411764706,False
27,4_8_12,LogisticRegression,(-1.0, 4.0),0.875,True
28,4_8_12,LogisticRegression,(1.0, 3.0),0.9411764705882353,False
29,4_8_12,LogisticRegression,(0.0, 4.0),1.0,True
30,4_8_12,XGBClassifier,(1.0, 4.0),0.7647058823529411,True
31,4_8_12,LogisticRegression,(0.0, 4.0),0.9411764705882353,False
32,4_8_12,XGBClassifier,(0.0, 4.0),0.9444444444444444,False
33,4_8_12,LinearDiscriminantAnalysis,(1.0, 3.0),0.9411764705882353,False
34,4_8_12,LogisticRegression,(1.0, 3.0),0.9444444444444444,True
35,4_8_12,XGBClassifier,(1.0, 4.0),0.9411764705882353,False
36,4_8_12,RandomForestClassifier,(0.0, 2.0),0.8823529411764706,False
37,4_8_12,LinearDiscriminantAnalysis,(1.0, 4.0),0.8823529411764706,False
38,4_8_12,RandomForestClassifier,(0.0, 2.0),0.6470588235294118,True
39,4_8_12,RandomForestClassifier,(0.0, 2.0),0.7647058823529411,True
40,4_8_12,LogisticRegression,(0.0, 4.0),0.8333333333333334,False
41,4_8_12,LogisticRegression,(1.0, 4.0),0.8823529411764706,False
42,4_8_12,LogisticRegression,(0.0, 3.0),1.0,True
43,4_8_12,LinearDiscriminantAnalysis,(1.0, 3.0),0.8235294117647058,True
44,4_8_12,XGBClassifier,(1.0, 4.0),0.8235294117647058,False
45,4_8_12,XGBClassifier,(0.0, 2.0),1.0,False
46,4_8_12,GradientBoostingClassifier,(-1.0, 4.0),0.8125,True
47,4_8_12,LogisticRegression,(0.0, 2.0),0.8235294117647058,False
48,4_8_12,LogisticRegression,(0.0, 3.0),0.9411764705882353,True
49,4_8_12,LinearDiscriminantAnalysis,(0.0, 2.0),0.8823529411764706,False
50,4_8_12,RandomForestClassifier,(0.0, 3.0),1.0,False
51,4_8_12,RandomForestClassifier,(0.0, 3.0),0.9411764705882353,True
52,4_8_12,XGBClassifier,(0.0, 2.0),0.9411764705882353,True
53,4_8_12,LogisticRegression,(-1.0, 2.0),0.8235294117647058,False
54,4_8_12,LinearDiscriminantAnalysis,(1.0, 3.0),0.8823529411764706,True
55,4_8_12,LogisticRegression,(0.0, 2.0),0.8823529411764706,True
56,4_8_12,LinearDiscriminantAnalysis,(-1.0, 4.0),1.0,False
57,4_8_12,LogisticRegression,(0.0, 4.0),0.8235294117647058,False
58,4_8_12,LogisticRegression,(1.0, 3.0),0.8823529411764706,False
59,4_8_12,LogisticRegression,(1.0, 3.0),0.8235294117647058,True
60,4_8_12,RandomForestClassifier,(0.0, 4.0),0.8235294117647058,False
61,4_8_12,LogisticRegression,(1.0, 3.0),0.8235294117647058,False
62,4_8_12,LogisticRegression,(1.0, 2.0),0.8823529411764706,True
63,4_8_12,LogisticRegression,(-1.0, 3.0),0.7058823529411765,True
64,4_8_12,LogisticRegression,(0.0, 3.0),0.8235294117647058,True
65,4_8_12,LogisticRegression,(0.0, 4.0),0.9411764705882353,True
66,4_8_12,LogisticRegression,(1.0, 2.0),0.7647058823529411,False
67,4_8_12,LogisticRegression,(0.0, 3.0),0.8235294117647058,False
68,4_8_12,LinearDiscriminantAnalysis,(0.0, 3.0),0.8235294117647058,True
69,4_8_12,LogisticRegression,(1.0, 3.0),0.9411764705882353,True
70,4_8_12,LogisticRegression,(-1.0, 3.0),0.7647058823529411,True
71,4_8_12,RandomForestClassifier,(0.0, 3.0),0.8235294117647058,True
72,4_8_12,LogisticRegression,(0.0, 3.0),1.0,False
73,4_8_12,LogisticRegression,(1.0, 4.0),0.9411764705882353,True
74,4_8_12,LogisticRegression,(0.0, 3.0),0.7647058823529411,False
75,4_8_12,LogisticRegression,(0.0, 3.0),0.8823529411764706,False
76,4_8_12,LogisticRegression,(0.0, 2.0),0.7647058823529411,False
77,4_8_12,LogisticRegression,(0.0, 2.0),0.7777777777777778,False
78,4_8_12,LogisticRegression,(-1.0, 2.0),0.75,True
79,4_8_12,RandomForestClassifier,(0.0, 3.0),0.7647058823529411,False
80,4_8_12,XGBClassifier,(0.0, 3.0),0.8235294117647058,False
81,4_8_12,LogisticRegression,(0.0, 4.0),0.8235294117647058,False
82,4_8_12,LinearDiscriminantAnalysis,(1.0, 2.0),0.8823529411764706,False
83,4_8_12,LinearDiscriminantAnalysis,(-1.0, 4.0),0.7058823529411765,True
84,4_8_12,LogisticRegression,(1.0, 2.0),0.7058823529411765,True
85,4_8_12,LogisticRegression,(0.0, 4.0),0.9411764705882353,True
86,4_8_12,LogisticRegression,(1.0, 4.0),1.0,False
87,4_8_12,LogisticRegression,(0.0, 3.0),0.7647058823529411,True
88,4_8_12,RandomForestClassifier,(1.0, 3.0),0.7272727272727273,True
89,4_8_12,LogisticRegression,(-1.0, 3.0),1.0,False
90,4_8_12,LogisticRegression,(0.0, 3.0),0.8235294117647058,True
91,4_8_12,LogisticRegression,(0.0, 3.0),0.7058823529411765,True
92,4_8_12,LogisticRegression,(1.0, 2.0),0.7727272727272727,True
93,4_8_12,LogisticRegression,(0.0, 4.0),0.9411764705882353,True
94,4_8_12,LogisticRegression,(1.0, 3.0),0.8823529411764706,False
95,4_8_12,LogisticRegression,(1.0, 2.0),0.7647058823529411,True
96,4_8_12,LogisticRegression,(0.0, 2.0),0.6470588235294118,False
97,4_8_12,LogisticRegression,(0.0, 3.0),0.9411764705882353,False
98,4_8_12,XGBClassifier,(1.0, 2.0),0.9411764705882353,False
